drugName,smilesString
tg101209,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)N4CCN(CC4)C
ziprasidone,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
chembl2143037,CC1C(=N)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
(-)-ethyl apovincaminate,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
snx-2112 (pf-04928473),CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C
308246-52-8,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC
gw842166x,C1COCCC1CNC(=O)C2=CN=C(N=C2C(F)(F)F)NC3=C(C=C(C=C3)Cl)Cl
sonolisib,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C(=CN(CC=C)CC=C)C4=C(C3=O)O)COC)C)C
ly294002,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
ncgc00253909-01,CC1=CC(=CC=C1)NC2=NC(=NC=C2C(=O)N)NC3CCCCC3N
sb590885,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5
batimastat (bb-94),CC(C)CC(C(CSC1=CC=CS1)C(=O)NO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC
tocris-1479,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O
nu6027,C1CCC(CC1)COC2=NC(=NC(=C2N=O)N)N
chembl3417706,CC1=C(C(=NN1C)COC2=CC=C(C=C2)N3CCN(CC3)C(=O)C)C4=CC=CC5=C4N(C(=C5CCCOC6=CC=CC7=CC=CC=C76)C(=O)O)CC8=CN=CC=C8
potassium canrenoate,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC4(CCC(=O)[O-])O)C.[K+]
cct129202,CN(C)C1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)N4CCN(CC4)CC(=O)NC5=NC=CS5)Cl
4-aminohippuric acid,C1=CC(=CC=C1C(=O)NCC(=O)O)N
osi-906 (linsitinib),CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O
moxonidine,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC
1056901-62-2,C1=CC(=CC=C1C2=CNN=C2)C(CN)(C3=CC=C(C=C3)Cl)O
zinc250325905,CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5(C6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
levamisole hydrochloride,C1CSC2=NC(CN21)C3=CC=CC=C3.Cl
rgfp966,C1=CC=C(C=C1)C=CCN2C=C(C=N2)C=CC(=O)NC3=C(C=C(C=C3)F)N
chembl3348949,CCNC(=O)NC1=CC=C(C=C1)C2=NC3=C(CCN(C3)C4COC4)C(=N2)N5CCOCC5C
ncgc00090808-03,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
chlorquinaldol,CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl
schembl82368,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3
mepenzolate bromide,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-]
vancomycin hcl,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O.Cl
schembl1461351,C1COCCN1CC2=CC(=O)C(=CO2)OCCCCCSC3=C4C=CC(=CC4=NC=C3)C(F)(F)F
caa0225,C1=CC=C(C=C1)CC(C(=O)NCC2=CC=CC=C2)NC(=O)C3C(O3)C(=O)NCCC4=CC=C(C=C4)O
euk 134,COC1=CC=CC(=C1[O-])C=NCCN=CC2=C(C(=CC=C2)OC)[O-].[Cl-].[Mn+2]
pr-619,C1=C(C(=NC(=C1SC#N)N)N)SC#N
diclofenac potassium,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[K+]
biperiden hcl,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O.Cl
ncgc00160531-01,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
amuvatinib (mp-470),C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6
cepharanthine,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3
1-beta-d-xylofuranosyluracil,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
pp121,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
chlorprothixene,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
golgicide a,C1C=CC2C1C(NC3=C2C=C(C=C3F)F)C4=CN=CC=C4
gsk2837808a,COC1=NC(=NC=C1C2=CC3=NC=C(C(=C3C=C2)NC4=CC(=CC(=C4)C(=O)O)OC5=CC(=CC(=C5)F)F)S(=O)(=O)NC6CC6)OC
mln120b,CC1=C(C=CC=N1)C(=O)NC2=C3C(=CC(=C2OC)Cl)C4=C(N3)C=NC=C4
lincomycin hcl,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O.Cl
srt1720,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl
desvenlafaxine,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
megestryl acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
vardenafil hcl trihydrate,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.O.O.O.Cl
sar405,CC1COCCN1C2=CC(=O)N3CCC(N(C3=N2)CC4=CC(=CN=C4)Cl)C(F)(F)F
act 078,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)[O-])[O-].[Pt+4]
"(3alpha,5beta,7alpha)-3,7-dihydroxycholan-24-oic acid",CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
chromocarb,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O
ncgc00163424-03,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
chembl2170099,CC1=NC(=NC(=N1)N)C2=C(N=CC(=C2)C(C)N3CCN(CC3)S(=O)(=O)C)NC4=CC(=C(N=C4)OC)F
fesoterodine,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
u0126,C1=CC=C(C(=C1)N)SC(=C(C#N)C(=C(N)SC2=CC=CC=C2N)C#N)N
semaxanib (su5416),CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C
cutamesine,COC1=C(C=C(C=C1)CCN2CCN(CC2)CCCC3=CC=CC=C3)OC
xl388,CC1=C(C=CC(=C1F)S(=O)(=O)C)C(=O)N2CCOC3=C(C2)C=C(C=C3)C4=CN=C(C=C4)N
164658-13-3,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO
chembl3348924,CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N
qcr-20,C1CC1C(=O)N2CCC(C2)CN3C4=C(C=NC=C4)N=C3C5=CC=C(C=C5)C6=CC7=C(C=C6)OC=C7
chembl3348884,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
chembl3348953,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O
balsalazide,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
sasapyrine,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O
38609-97-1,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC(=O)O
17-dmag (alvespimycin) hcl,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)C)OC)OC(=O)N)C)C)O)OC.Cl
pridinol methanesulfonate,CS(=O)(=O)O.C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
fgf401,CN1CCN(C(=O)C1)CC2=C(N=C3C(=C2)CCCN3C(=O)NC4=NC=C(C(=C4)NCCOC)C#N)C=O
schembl20400776,C1CC1NCC2=CC(=CC=C2)NC3=NNC(=C3)C4=CC=C(C=C4)C5=C(C=C(C=C5)O)O
divalproex sodium,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
chembl3348838,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C
gsk963 racemate,CC(C)(C)C(=O)N1C(CC=N1)C2=CC=CC=C2
icotinib,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4
1616392-22-3,CC(=O)N1CCC(CC1)NC2=NC=NC(=C2)C(=O)NCC(CN3CCC4=CC=CC=C4C3)O
gsk4112,CC(C)(C)OC(=O)CN(CC1=CC=C(C=C1)Cl)CC2=CC=C(S2)[N+](=O)[O-]
pnu282987,C1CN2CCC1C(C2)NC(=O)C3=CC=C(C=C3)Cl
azilsartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O
ac1mdwz9,C1=CC(=CC=C1C2=CC=C(O2)C=C3C(=O)NC(=O)S3)F
oprozomib (onx 0912),CC1=NC=C(S1)C(=O)NC(COC)C(=O)NC(COC)C(=O)NC(CC2=CC=CC=C2)C(=O)C3(CO3)C
nvp-bsk805 2hcl,C1CNCCC1N2C=C(C=N2)C3=NC4=C(C=CC=C4N=C3)C5=CC(=C(C(=C5)F)CN6CCOCC6)F.Cl.Cl
loxapine succinate,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O
foscarnet sodium,C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+]
vortioxetine (lu aa21004) hbr,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C.Br
bs194,CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NC(CO)C(CO)O
lp 533401,C1=CC(=CC(=C1)F)C2=CC=C(C=C2)C(C(F)(F)F)OC3=NC(=NC(=C3)C4=CC=C(C=C4)CC(C(=O)O)N)N
palmatine chloride,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]
unc2025,CCCCNC1=NC=C2C(=CN(C2=N1)C3CCC(CC3)O)C4=CC=C(C=C4)CN5CCN(CC5)C
safinamide,CC(C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F
didanosine,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O
tizanidine,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl
mrs 2578,C1=CC(=CC(=C1)N=C=S)NC(=S)NCCCCNC(=S)NC2=CC(=CC=C2)N=C=S
sepantronium,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4
chembl3349004,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
nvp-adw742,C1CCN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6
zinc3881972,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C
ci994 (tacedinaline),CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N
rizatriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3
ronidazole,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-]
duloxetine hcl,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl
on123300,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C=C(C(=O)N(C4=N3)C5CCCC5)C#N
degrasyn (wp1130),CCCC(C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N
unii-7e99b9zm19,CC1=CC2=C(O1)C=C(C=C2OC3=CN=C(N=C3)C(=O)N(C)C)C(=O)NC4=NC=C(N=C4)C
nitrendipine,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
quisinostat (jnj-26481585),CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO
griseofulvin,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
chembl3348900,COC(=O)C1=COC(C2C1CC=C2CO)O
clomiphene,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
azd8797,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3
zm 306416,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C=C(C=C3)Cl)F)OC
(+)-blebbistatin,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
2-propylpentanoate,CCCC(CCC)C(=O)[O-]
gsk126,CCC(C)N1C=C(C2=C(C=C(C=C21)C3=CN=C(C=C3)N4CCNCC4)C(=O)NCC5=C(C=C(NC5=O)C)C)C
famprofazone,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3
ide 2,C1CCC(=NNC(=O)CCCCCC(=O)O)C1
way-100635 maleate,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4CCCCC4.C(=CC(=O)O)C(=O)O
gossypol,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O
pd128907 hcl,CCCN1CCOC2C1COC3=C2C=C(C=C3)O.Cl
